,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,low,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
4732,,,,,速報,3,,,,,4732,,,,,猪木,2,,
4733,,,,,街角,3,,,,,4733,,,,,Wall Street,2,,
4734,,,,,お伝え,3,,,,,4734,,,,,ブロック経済,2,,
4735,,,,,飲料水,3,,,,,4735,,,,,即時撤廃,2,,
4736,,,,,日数,3,,,,,4736,,,,,輸出額,2,,
4737,,,,,業態,3,,,,,4737,,,,,大平,2,,
4738,,,,,あした,3,,,,,4738,,,,,世耕,2,,
4739,,,,,スクールソーシャルワーカー,3,,,,,4739,,,,,論戦,2,,
4740,,,,,ピーク,3,,,,,4740,,,,,弱肉強食,2,,
4741,,,,,長居,3,,,,,4741,,,,,不明,2,,
4742,,,,,撤収,3,,,,,4742,,,,,所得格差,2,,
4743,,,,,四つ,3,,,,,4743,,,,,証左,2,,
4744,,,,,対内,3,,,,,4744,,,,,お返し,2,,
4745,,,,,消費支出,3,,,,,4745,,,,,江崎,2,,
4746,,,,,ベア,3,,,,,4746,,,,,反感,2,,
4747,,,,,門戸,3,,,,,4747,,,,,輸出産業,2,,
4748,,,,,1月17日,3,,,,,4748,,,,,風潮,2,,
4749,,,,,数カ月,3,,,,,4749,,,,,行政上,2,,
4750,,,,,マイナンバー,3,,,,,4750,,,,,検出,2,,
4751,,,,,フロー,3,,,,,4751,,,,,しょうゆ,2,,
4752,,,,,不信,3,,,,,4752,,,,,抽出,2,,
4753,,,,,議院,3,,,,,4753,,,,,長崎,2,,
4754,,,,,建て,3,,,,,4754,,,,,実相,2,,
4755,,,,,水資源,3,,,,,4755,,,,,大門,2,,
4756,,,,,WTO,3,,,,,4756,,,,,グローバル企業,2,,
4757,,,,,近畿圏,3,,,,,4757,,,,,打開,2,,
4758,,,,,クリニック,3,,,,,4758,,,,,サンフランシスコ条約,2,,
4759,,,,,じゃなくて,3,,,,,4759,,,,,SBS,2,,
4760,,,,,今週,3,,,,,4760,,,,,アジア地域,2,,
4761,,,,,低廉,3,,,,,4761,,,,,ギャップ,2,,
4762,,,,,パーティー,3,,,,,4762,,,,,心疾患,2,,
4763,,,,,再確認,3,,,,,4763,,,,,注文,2,,
4764,,,,,私立,3,,,,,4764,,,,,心臓疾患,2,,
4765,,,,,リスト,3,,,,,4765,,,,,労災認定,2,,
4766,,,,,文官,3,,,,,4766,,,,,十日,2,,
4767,,,,,アフガン戦争,3,,,,,4767,,,,,石井準一,2,,
4768,,,,,釜石市,3,,,,,4768,,,,,不自由,2,,
4769,,,,,権力者,3,,,,,4769,,,,,女性自衛官,2,,
4770,,,,,党是,3,,,,,4770,,,,,労働基準監督署,2,,
4771,,,,,綱領,3,,,,,4771,,,,,加藤,2,,
4772,,,,,熟知,3,,,,,4772,,,,,立入,2,,
4773,,,,,投薬,3,,,,,4773,,,,,事業所,2,,
4774,,,,,償還,3,,,,,4774,,,,,退職勧奨,2,,
4775,,,,,コントロール,3,,,,,4775,,,,,国家公務員法,2,,
4776,,,,,電力需給,3,,,,,4776,,,,,過大評価,2,,
4777,,,,,途絶,3,,,,,4777,,,,,下関,2,,
4778,,,,,所有権,3,,,,,4778,,,,,夫婦別氏,2,,
4779,,,,,事前承認,3,,,,,4779,,,,,プレー,2,,
4780,,,,,過激,3,,,,,4780,,,,,男子,2,,
4781,,,,,軍事的,3,,,,,4781,,,,,国連演説,2,,
4782,,,,,治安出動,3,,,,,4782,,,,,指令,2,,
4783,,,,,災い,3,,,,,4783,,,,,例外規定,2,,
4784,,,,,分り,3,,,,,4784,,,,,逐条,2,,
4785,,,,,つまり,3,,,,,4785,,,,,家制度,2,,
4786,,,,,外交上,3,,,,,4786,,,,,のみ,2,,
4787,,,,,PAC,3,,,,,4787,,,,,ひも,2,,
4788,,,,,日米安全保障条約,3,,,,,4788,,,,,内閣人事局,2,,
4789,,,,,検問,3,,,,,4789,,,,,完結,2,,
4790,,,,,すき,3,,,,,4790,,,,,否決,2,,
4791,,,,,国籍不明,3,,,,,4791,,,,,摘発,2,,
4792,,,,,必然的,3,,,,,4792,,,,,合議,2,,
4793,,,,,妨害,3,,,,,4793,,,,,明文的,2,,
4794,,,,,せん滅,3,,,,,4794,,,,,裁判所,2,,
4795,,,,,ノー,3,,,,,4795,,,,,関連性,2,,
4796,,,,,死傷,3,,,,,4796,,,,,夢に向かって,2,,
4797,,,,,任官,3,,,,,4797,,,,,不確実性,2,,
4798,,,,,急迫,3,,,,,4798,,,,,重複,2,,
4799,,,,,ジレンマ,3,,,,,4799,,,,,円借款,2,,
4800,,,,,兵たん,3,,,,,4800,,,,,生鮮食料品,2,,
4801,,,,,付加,3,,,,,4801,,,,,下落,2,,
4802,,,,,自由診療,3,,,,,4802,,,,,インフレ,2,,
4803,,,,,相互扶助,3,,,,,4803,,,,,日銀,2,,
4804,,,,,軽減措置,3,,,,,4804,,,,,イン,2,,
4805,,,,,要領,3,,,,,4805,,,,,ある日,2,,
4806,,,,,メダル,3,,,,,4806,,,,,被災者生活再建支援法,2,,
4807,,,,,氾濫,3,,,,,4807,,,,,内閣支持率,2,,
4808,,,,,動態,3,,,,,4808,,,,,生活意識,2,,
4809,,,,,IC,3,,,,,4809,,,,,裕福,2,,
4810,,,,,可及的速やかに,3,,,,,4810,,,,,衝撃,2,,
4811,,,,,避難準備情報,3,,,,,4811,,,,,あっせん,2,,
4812,,,,,日本語,3,,,,,4812,,,,,不同意,2,,
4813,,,,,七条,3,,,,,4813,,,,,宮崎,2,,
4814,,,,,基本的人権の尊重,3,,,,,4814,,,,,不公平,2,,
4815,,,,,委託,3,,,,,4815,,,,,社会保障と税の一体改革,2,,
4816,,,,,繰り越し,3,,,,,4816,,,,,社会参加,2,,
4817,,,,,不用額,3,,,,,4817,,,,,空中給油訓練,2,,
4818,,,,,配当,3,,,,,4818,,,,,陸地,2,,
4819,,,,,欠損,3,,,,,4819,,,,,究明,2,,
4820,,,,,敵対行為,3,,,,,4820,,,,,字形,2,,
4821,,,,,自衛隊派遣,3,,,,,4821,,,,,義務教育,2,,
4822,,,,,民生支援,3,,,,,4822,,,,,憲法調査会,2,,
4823,,,,,丸川,3,,,,,4823,,,,,発議,2,,
4824,,,,,水害,3,,,,,4824,,,,,ギャンブル依存症,2,,
4825,,,,,先駆け,3,,,,,4825,,,,,ギャンブル,2,,
4826,,,,,年金受給資格期間,3,,,,,4826,,,,,駐留軍,2,,
4827,,,,,定年延長,3,,,,,4827,,,,,ある時,2,,
4828,,,,,パナマ,3,,,,,4828,,,,,西村,2,,
4829,,,,,旺盛,3,,,,,4829,,,,,日加,2,,
4830,,,,,非同盟諸国,3,,,,,4830,,,,,過信,2,,
4831,,,,,水際対策,3,,,,,4831,,,,,報復,2,,
4832,,,,,支給対象,3,,,,,4832,,,,,御苦労,2,,
4833,,,,,残業代ゼロ法案,3,,,,,4833,,,,,感銘,2,,
4834,,,,,核燃料サイクル,3,,,,,4834,,,,,にぎわい,2,,
4835,,,,,脱出,3,,,,,4835,,,,,物的,2,,
4836,,,,,税制調査会,3,,,,,4836,,,,,日本代表,2,,
4837,,,,,任期中,3,,,,,4837,,,,,下村,2,,
4838,,,,,日本中,3,,,,,4838,,,,,自動運転技術,2,,
4839,,,,,消費者物価指数,3,,,,,4839,,,,,安全運転サポート車,2,,
4840,,,,,表敬,3,,,,,4840,,,,,常々,2,,
4841,,,,,所信表明,3,,,,,4841,,,,,プラカード,2,,
4842,,,,,公有地,3,,,,,4842,,,,,真面目,2,,
4843,,,,,熊本,3,,,,,4843,,,,,見積もり,2,,
4844,,,,,パイ,3,,,,,4844,,,,,悪口,2,,
4845,,,,,倍額,3,,,,,4845,,,,,申しわけ,2,,
4846,,,,,逆行,3,,,,,4846,,,,,退位,2,,
4847,,,,,後ろ盾,3,,,,,4847,,,,,皇太子,2,,
4848,,,,,国産米,3,,,,,4848,,,,,傾聴,2,,
4849,,,,,遮断,3,,,,,4849,,,,,皇室典範,2,,
4850,,,,,不信感,3,,,,,4850,,,,,男系,2,,
4851,,,,,介護福祉士,3,,,,,4851,,,,,本年度,2,,
4852,,,,,佐藤真海,3,,,,,4852,,,,,組織的,2,,
4853,,,,,工藤,3,,,,,4853,,,,,辞書,2,,
4854,,,,,スローガン,3,,,,,4854,,,,,宗教法人,2,,
4855,,,,,輸出額,3,,,,,4855,,,,,テロ集団,2,,
4856,,,,,客船,3,,,,,4856,,,,,刑事局,2,,
4857,,,,,ターミナル,3,,,,,4857,,,,,東京条約,2,,
4858,,,,,内戦,3,,,,,4858,,,,,機内,2,,
4859,,,,,宮崎,3,,,,,4859,,,,,化学,2,,
4860,,,,,高裁,3,,,,,4860,,,,,プラットホーム,2,,
4861,,,,,公職選挙法,3,,,,,4861,,,,,コンセンサス,2,,
4862,,,,,二重国籍,3,,,,,4862,,,,,薬物,2,,
4863,,,,,被選挙権,3,,,,,4863,,,,,密売,2,,
4864,,,,,可決,3,,,,,4864,,,,,刑事,2,,
4865,,,,,即時撤廃,3,,,,,4865,,,,,新型,2,,
4866,,,,,ばらつき,3,,,,,4866,,,,,推定,2,,
4867,,,,,排他的経済水域,3,,,,,4867,,,,,誇示,2,,
4868,,,,,伊勢志摩,3,,,,,4868,,,,,サリン,2,,
4869,,,,,逆進,3,,,,,4869,,,,,Ballistic Missile Defense,2,,
4870,,,,,山形,3,,,,,4870,,,,,四国新幹線,2,,
4871,,,,,整備新幹線,3,,,,,4871,,,,,開業,2,,
4872,,,,,ハブ,3,,,,,4872,,,,,敦賀,2,,
4873,,,,,回廊,3,,,,,4873,,,,,強引,2,,
4874,,,,,経済ルール,3,,,,,4874,,,,,西側諸国,2,,
4875,,,,,評論,3,,,,,4875,,,,,UAE,2,,
4876,,,,,基礎的,3,,,,,4876,,,,,イスラエル,2,,
4877,,,,,単身,3,,,,,4877,,,,,中東諸国,2,,
4878,,,,,特段,3,,,,,4878,,,,,下問,2,,
4879,,,,,大枠,3,,,,,4879,,,,,化学兵器禁止機関,2,,
4880,,,,,衛生,3,,,,,4880,,,,,石関,2,,
4881,,,,,自由民主主義,3,,,,,4881,,,,,三社,2,,
4882,,,,,ショッピングモール,3,,,,,4882,,,,,模糊,2,,
4883,,,,,室長,3,,,,,4883,,,,,供述,2,,
4884,,,,,高橋まつり,3,,,,,4884,,,,,端的,2,,
4885,,,,,省令,3,,,,,4885,,,,,実験,2,,
4886,,,,,反政府勢力,3,,,,,4886,,,,,悪の枢軸,2,,
4887,,,,,お手本,3,,,,,4887,,,,,カーター,2,,
4888,,,,,極端,3,,,,,4888,,,,,黒鉛,2,,
4889,,,,,保険会社,3,,,,,4889,,,,,減速,2,,
4890,,,,,吉田松陰,3,,,,,4890,,,,,精製,2,,
4891,,,,,菅さん,3,,,,,4891,,,,,プルトニウム,2,,
4892,,,,,居酒屋,3,,,,,4892,,,,,藤田,2,,
4893,,,,,瑕疵,3,,,,,4893,,,,,聴取,2,,
4894,,,,,パーティー券,3,,,,,4894,,,,,着弾,2,,
4895,,,,,講師,3,,,,,4895,,,,,反撃,2,,
4896,,,,,日中平和友好条約,3,,,,,4896,,,,,環境保全,2,,
4897,,,,,緒方,3,,,,,4897,,,,,伸び率,2,,
4898,,,,,しどろもどろ,3,,,,,4898,,,,,顕著,2,,
4899,,,,,多数決,3,,,,,4899,,,,,認知,2,,
4900,,,,,神津,3,,,,,4900,,,,,オレンジプラン,2,,
4901,,,,,2月14日,3,,,,,4901,,,,,介護離職,2,,
4902,,,,,内閣人事局,3,,,,,4902,,,,,定か,2,,
4903,,,,,事務次官,3,,,,,4903,,,,,三百,2,,
4904,,,,,二日,3,,,,,4904,,,,,四十万,2,,
4905,,,,,慫慂,3,,,,,4905,,,,,初頭,2,,
4906,,,,,会見,3,,,,,4906,,,,,介護福祉士,2,,
4907,,,,,過誤,3,,,,,4907,,,,,同時,2,,
4908,,,,,防衛技術,3,,,,,4908,,,,,軽度,2,,
4909,,,,,人材不足,3,,,,,4909,,,,,ラーニング,2,,
4910,,,,,営業職,3,,,,,4910,,,,,暴力,2,,
4911,,,,,TM,3,,,,,4911,,,,,岸田文雄,2,,
4912,,,,,山尾,3,,,,,4912,,,,,順序,2,,
4913,,,,,犯罪集団,3,,,,,4913,,,,,性犯罪,2,,
4914,,,,,パレスチナ,3,,,,,4914,,,,,逃亡,2,,
4915,,,,,テルアビブ,3,,,,,4915,,,,,動静,2,,
4916,,,,,帰任,3,,,,,4916,,,,,松浪健太,2,,
4917,,,,,財投,3,,,,,4917,,,,,取り調べ,2,,
4918,,,,,JR九州,3,,,,,4918,,,,,裁判員制度,2,,
4919,,,,,各社,3,,,,,4919,,,,,堅牢,2,,
4920,,,,,路線,3,,,,,4920,,,,,地下施設,2,,
4921,,,,,予約,3,,,,,4921,,,,,国民保護,2,,
4922,,,,,金融緩和政策,3,,,,,4922,,,,,都市部,2,,
4923,,,,,個人所得,3,,,,,4923,,,,,福岡市,2,,
4924,,,,,経済面,3,,,,,4924,,,,,市長,2,,
4925,,,,,日本のために,3,,,,,4925,,,,,硫黄島,2,,
4926,,,,,ファースト,3,,,,,4926,,,,,暴挙,2,,
4927,,,,,ビッグスリー,3,,,,,4927,,,,,厳重,2,,
4928,,,,,ポチ,3,,,,,4928,,,,,抗議,2,,
4929,,,,,入植,3,,,,,4929,,,,,文在寅,2,,
4930,,,,,スーダン,3,,,,,4930,,,,,訪中,2,,
4931,,,,,組織的,3,,,,,4931,,,,,分母,2,,
4932,,,,,公益法人等,3,,,,,4932,,,,,コーポレート・ガバナンス,2,,
4933,,,,,違反行為,3,,,,,4933,,,,,承継,2,,
4934,,,,,うっかり,3,,,,,4934,,,,,核軍縮,2,,
4935,,,,,声掛け,3,,,,,4935,,,,,同席,2,,
4936,,,,,前段,3,,,,,4936,,,,,参加者,2,,
4937,,,,,テロ行為,3,,,,,4937,,,,,申し込み,2,,
4938,,,,,捜査当局,3,,,,,4938,,,,,サービス提供,2,,
4939,,,,,化学式,3,,,,,4939,,,,,余裕,2,,
4940,,,,,薬品,3,,,,,4940,,,,,使い道,2,,
4941,,,,,ポスト,3,,,,,4941,,,,,矢継ぎ早,2,,
4942,,,,,パレルモ条約,3,,,,,4942,,,,,応募,2,,
4943,,,,,粗雑,3,,,,,4943,,,,,質問主意書,2,,
4944,,,,,内政問題,3,,,,,4944,,,,,主意,2,,
4945,,,,,麻薬,3,,,,,4945,,,,,答弁書,2,,
4946,,,,,下地,3,,,,,4946,,,,,一部容認,2,,
4947,,,,,母港,3,,,,,4947,,,,,妨げ,2,,
4948,,,,,三世,3,,,,,4948,,,,,才能,2,,
4949,,,,,在留,3,,,,,4949,,,,,障害者差別解消法,2,,
4950,,,,,マフィア,3,,,,,4950,,,,,日本海,2,,
4951,,,,,加計学園,3,,,,,4951,,,,,飛翔,2,,
4952,,,,,使い道,3,,,,,4952,,,,,キロ,2,,
4953,,,,,国民経済計算,3,,,,,4953,,,,,EEZ,2,,
4954,,,,,ETF,3,,,,,4954,,,,,同時通訳,2,,
4955,,,,,買い入れ,3,,,,,4955,,,,,逐語,2,,
4956,,,,,加計,3,,,,,4956,,,,,部長,2,,
4957,,,,,行政文書,3,,,,,4957,,,,,随意契約,2,,
4958,,,,,Socl,3,,,,,4958,,,,,耳障り,2,,
4959,,,,,ボンド,3,,,,,4959,,,,,円満,2,,
4960,,,,,無期,3,,,,,4960,,,,,投票,2,,
4961,,,,,復興交付金,3,,,,,4961,,,,,てこ,2,,
4962,,,,,理事会,3,,,,,4962,,,,,濃縮,2,,
4963,,,,,判示,2,,,,,4963,,,,,借入,2,,
4964,,,,,密約問題,2,,,,,4964,,,,,債務,2,,
4965,,,,,世論,2,,,,,4965,,,,,貸し手,2,,
4966,,,,,キャンペーン,2,,,,,4966,,,,,DB,2,,
4967,,,,,プロパガンダ,2,,,,,4967,,,,,アメリカ大統領,2,,
4968,,,,,楽観,2,,,,,4968,,,,,大鵬,2,,
4969,,,,,通貨危機,2,,,,,4969,,,,,ファン,2,,
4970,,,,,終局,2,,,,,4970,,,,,明武谷,2,,
4971,,,,,自明の理,2,,,,,4971,,,,,日本相撲協会,2,,
4972,,,,,法律的,2,,,,,4972,,,,,再調査,2,,
4973,,,,,選挙公約,2,,,,,4973,,,,,十倍,2,,
4974,,,,,ストーリー,2,,,,,4974,,,,,威力,2,,
4975,,,,,英知,2,,,,,4975,,,,,核保有国,2,,
4976,,,,,篠原,2,,,,,4976,,,,,武見,2,,
4977,,,,,香川県,2,,,,,4977,,,,,再突入,2,,
4978,,,,,食生活,2,,,,,4978,,,,,六者会合,2,,
4979,,,,,農業政策,2,,,,,4979,,,,,ダブル,2,,
4980,,,,,大転換,2,,,,,4980,,,,,フリーズ,2,,
4981,,,,,サイン,2,,,,,4981,,,,,合同演習,2,,
4982,,,,,天井,2,,,,,4982,,,,,前月比,2,,
4983,,,,,附則,2,,,,,4983,,,,,外貨,2,,
4984,,,,,中東地域,2,,,,,4984,,,,,石油製品,2,,
4985,,,,,買い手,2,,,,,4985,,,,,非核,2,,
4986,,,,,下旬,2,,,,,4986,,,,,谷内,2,,
4987,,,,,安価,2,,,,,4987,,,,,飛来,2,,
4988,,,,,準国産,2,,,,,4988,,,,,Google Alerts,2,,
4989,,,,,UAE,2,,,,,4989,,,,,海洋権益,2,,
4990,,,,,殿下,2,,,,,4990,,,,,気さく,2,,
4991,,,,,GCC,2,,,,,4991,,,,,トランプ・タワー,2,,
4992,,,,,放送事業者,2,,,,,4992,,,,,長門,2,,
4993,,,,,国家百年の計,2,,,,,4993,,,,,理財局,2,,
4994,,,,,パブリックコメント,2,,,,,4994,,,,,近畿,2,,
4995,,,,,木造,2,,,,,4995,,,,,財務局,2,,
4996,,,,,密集,2,,,,,4996,,,,,晩さん,2,,
4997,,,,,日ごろ,2,,,,,4997,,,,,払い下げ,2,,
4998,,,,,孤立集落,2,,,,,4998,,,,,パーセンテージ,2,,
4999,,,,,畜舎,2,,,,,4999,,,,,国賓,2,,
5000,,,,,資金面,2,,,,,5000,,,,,規制改革推進会議,2,,
5001,,,,,補助事業,2,,,,,5001,,,,,容疑者,2,,
5002,,,,,屋根,2,,,,,5002,,,,,柳瀬,2,,
5003,,,,,特別警報,2,,,,,5003,,,,,来客,2,,
5004,,,,,警報,2,,,,,5004,,,,,愛媛県,2,,
5005,,,,,防災気象情報,2,,,,,5005,,,,,当選者,2,,
5006,,,,,人命救助,2,,,,,5006,,,,,野田聖子,1,,
5007,,,,,防災訓練,2,,,,,5007,,,,,田中真紀子,1,,
5008,,,,,幾度,2,,,,,5008,,,,,マスト,1,,
5009,,,,,定住,2,,,,,5009,,,,,労働力率,1,,
5010,,,,,一定の成果,2,,,,,5010,,,,,カーブ,1,,
5011,,,,,現場主義,2,,,,,5011,,,,,宝の山,1,,
5012,,,,,通商代表,2,,,,,5012,,,,,労働力人口,1,,
5013,,,,,経済規模,2,,,,,5013,,,,,小保方,1,,
5014,,,,,形骸,2,,,,,5014,,,,,万能細胞,1,,
5015,,,,,公開性,2,,,,,5015,,,,,ヒラリー・クリントン,1,,
5016,,,,,警察庁長官官房長,2,,,,,5016,,,,,ローラ・タイソン,1,,
5017,,,,,サンプル,2,,,,,5017,,,,,ボード,1,,
5018,,,,,日銀総裁,2,,,,,5018,,,,,クオータ,1,,
5019,,,,,原資,2,,,,,5019,,,,,大学院,1,,
5020,,,,,単独,2,,,,,5020,,,,,大勝,1,,
5021,,,,,合議,2,,,,,5021,,,,,新体制,1,,
5022,,,,,関東地方,2,,,,,5022,,,,,クオータ制,1,,
5023,,,,,災害対策本部,2,,,,,5023,,,,,赤ちゃん,1,,
5024,,,,,2月17日,2,,,,,5024,,,,,資生堂,1,,
5025,,,,,2月5日,2,,,,,5025,,,,,自由民主党総裁,1,,
5026,,,,,速報値,2,,,,,5026,,,,,比例区,1,,
5027,,,,,十八日,2,,,,,5027,,,,,三十五,1,,
5028,,,,,正念場,2,,,,,5028,,,,,自我,1,,
5029,,,,,従業,2,,,,,5029,,,,,都知事選挙,1,,
5030,,,,,長続き,2,,,,,5030,,,,,彼女たち,1,,
5031,,,,,研さん,2,,,,,5031,,,,,競技施設,1,,
5032,,,,,バウチャー,2,,,,,5032,,,,,ノンステップ,1,,
5033,,,,,私立学校,2,,,,,5033,,,,,賓客,1,,
5034,,,,,上乗せ,2,,,,,5034,,,,,大洋州,1,,
5035,,,,,日本選手,2,,,,,5035,,,,,ポーランド,1,,
5036,,,,,社会参加,2,,,,,5036,,,,,無駄遣い,1,,
5037,,,,,壮行会,2,,,,,5037,,,,,二の矢,1,,
5038,,,,,十日,2,,,,,5038,,,,,竹中,1,,
5039,,,,,西側,2,,,,,5039,,,,,どよめき,1,,
5040,,,,,法解釈,2,,,,,5040,,,,,アカデミック,1,,
5041,,,,,安全保障体制,2,,,,,5041,,,,,レベニュー,1,,
5042,,,,,工作員,2,,,,,5042,,,,,ニュートラル,1,,
5043,,,,,部局,2,,,,,5043,,,,,新藤,1,,
5044,,,,,ノック,2,,,,,5044,,,,,リーディング,1,,
5045,,,,,局長級,2,,,,,5045,,,,,指定基準,1,,
5046,,,,,軍縮,2,,,,,5046,,,,,全国的,1,,
5047,,,,,違和感,2,,,,,5047,,,,,波及効果,1,,
5048,,,,,自然権,2,,,,,5048,,,,,都市圏,1,,
5049,,,,,次長,2,,,,,5049,,,,,バーチャル,1,,
5050,,,,,近代,2,,,,,5050,,,,,危険度,1,,
5051,,,,,一面,2,,,,,5051,,,,,白地,1,,
5052,,,,,専制,2,,,,,5052,,,,,国家情報長官,1,,
5053,,,,,隷従,2,,,,,5053,,,,,上院,1,,
5054,,,,,偏狭,2,,,,,5054,,,,,別表,1,,
5055,,,,,永遠に,2,,,,,5055,,,,,列挙,1,,
5056,,,,,面会,2,,,,,5056,,,,,保全監視委員会,1,,
5057,,,,,外交方針,2,,,,,5057,,,,,監察,1,,
5058,,,,,群馬県,2,,,,,5058,,,,,画像,1,,
5059,,,,,東京裁判,2,,,,,5059,,,,,監視対象,1,,
5060,,,,,BC,2,,,,,5060,,,,,免責特権,1,,
5061,,,,,釈放,2,,,,,5061,,,,,付言,1,,
5062,,,,,サンフランシスコ講和条約,2,,,,,5062,,,,,内部情報,1,,
5063,,,,,中国語,2,,,,,5063,,,,,内閣情報調査室,1,,
5064,,,,,重み,2,,,,,5064,,,,,野古,1,,
5065,,,,,編集,2,,,,,5065,,,,,沖縄県内,1,,
5066,,,,,ミッション,2,,,,,5066,,,,,南西諸島,1,,
5067,,,,,日本固有の領土,2,,,,,5067,,,,,中央,1,,
5068,,,,,クウェート侵攻,2,,,,,5068,,,,,即応,1,,
5069,,,,,Dew,2,,,,,5069,,,,,米海兵隊,1,,
5070,,,,,順番,2,,,,,5070,,,,,地積,1,,
5071,,,,,明文化,2,,,,,5071,,,,,生活環境,1,,
5072,,,,,途中,2,,,,,5072,,,,,代表質問,1,,
5073,,,,,パス,2,,,,,5073,,,,,防衛副大臣,1,,
5074,,,,,内閣府大臣政務官,2,,,,,5074,,,,,ヘッド,1,,
5075,,,,,団長,2,,,,,5075,,,,,沖縄基地,1,,
5076,,,,,呼応,2,,,,,5076,,,,,安心感,1,,
5077,,,,,症例,2,,,,,5077,,,,,好調,1,,
5078,,,,,介護予防,2,,,,,5078,,,,,数年,1,,
5079,,,,,リハビリ,2,,,,,5079,,,,,例年,1,,
5080,,,,,改良,2,,,,,5080,,,,,厚生省,1,,
5081,,,,,どなた,2,,,,,5081,,,,,画境,1,,
5082,,,,,救急医療,2,,,,,5082,,,,,下請代金支払遅延等防止法,1,,
5083,,,,,中教審,2,,,,,5083,,,,,自助,1,,
5084,,,,,切り,2,,,,,5084,,,,,バブル,1,,
5085,,,,,訪問介護,2,,,,,5085,,,,,前半,1,,
5086,,,,,通所介護,2,,,,,5086,,,,,レッテル,1,,
5087,,,,,掃除,2,,,,,5087,,,,,削除,1,,
5088,,,,,二本,2,,,,,5088,,,,,政策論争,1,,
5089,,,,,トータル,2,,,,,5089,,,,,不毛,1,,
5090,,,,,総体,2,,,,,5090,,,,,無責任,1,,
5091,,,,,労働者派遣事業,2,,,,,5091,,,,,産油国,1,,
5092,,,,,派遣元,2,,,,,5092,,,,,補償,1,,
5093,,,,,逼迫,2,,,,,5093,,,,,格差是正,1,,
5094,,,,,ネット,2,,,,,5094,,,,,職業的,1,,
5095,,,,,円建て,2,,,,,5095,,,,,いつか,1,,
5096,,,,,債権,2,,,,,5096,,,,,不時着,1,,
5097,,,,,硬直,2,,,,,5097,,,,,お父さん,1,,
5098,,,,,執行部,2,,,,,5098,,,,,戦術核,1,,
5099,,,,,取り返し,2,,,,,5099,,,,,森政権,1,,
5100,,,,,Generic,2,,,,,5100,,,,,教え,1,,
5101,,,,,負担増,2,,,,,5101,,,,,報道の自由,1,,
5102,,,,,ハンディキャップ,2,,,,,5102,,,,,誰々,1,,
5103,,,,,園田,2,,,,,5103,,,,,買収,1,,
5104,,,,,自負,2,,,,,5104,,,,,脅迫,1,,
5105,,,,,年央,2,,,,,5105,,,,,ジャーナリスト,1,,
5106,,,,,成就,2,,,,,5106,,,,,後々,1,,
5107,,,,,大臣政務官,2,,,,,5107,,,,,スクリュー,1,,
5108,,,,,新薬,2,,,,,5108,,,,,形状,1,,
5109,,,,,ヘルプ,2,,,,,5109,,,,,一件,1,,
5110,,,,,まとまり,2,,,,,5110,,,,,外野,1,,
5111,,,,,可否,2,,,,,5111,,,,,国土地理院,1,,
5112,,,,,許認可,2,,,,,5112,,,,,歴史家,1,,
5113,,,,,回し,2,,,,,5113,,,,,菅内閣,1,,
5114,,,,,第一歩,2,,,,,5114,,,,,菅談話,1,,
5115,,,,,平均寿命,2,,,,,5115,,,,,竹島,1,,
5116,,,,,国際人権規約,2,,,,,5116,,,,,遊就館,1,,
5117,,,,,学業,2,,,,,5117,,,,,戦場,1,,
5118,,,,,卒業後,2,,,,,5118,,,,,極東国際軍事裁判,1,,
5119,,,,,人生観,2,,,,,5119,,,,,勧告権,1,,
5120,,,,,西鉄,2,,,,,5120,,,,,戦争犯罪,1,,
5121,,,,,勉学,2,,,,,5121,,,,,釈放,1,,
5122,,,,,休業,2,,,,,5122,,,,,東京裁判,1,,
5123,,,,,ソチ・サミット,2,,,,,5123,,,,,無効,1,,
5124,,,,,互恵,2,,,,,5124,,,,,A級戦犯,1,,
5125,,,,,ナショナルトレーニングセンター,2,,,,,5125,,,,,処刑,1,,
5126,,,,,ユニバーサルデザイン,2,,,,,5126,,,,,数千人,1,,
5127,,,,,学校教育,2,,,,,5127,,,,,人道に対する罪,1,,
5128,,,,,精神的,2,,,,,5128,,,,,空前,1,,
5129,,,,,能力的,2,,,,,5129,,,,,ベア,1,,
5130,,,,,12月24日,2,,,,,5130,,,,,山口銀行,1,,
5131,,,,,医学部,2,,,,,5131,,,,,銀行,1,,
5132,,,,,通勤,2,,,,,5132,,,,,新浪,1,,
5133,,,,,自慢,2,,,,,5133,,,,,ローソン,1,,
5134,,,,,出先機関,2,,,,,5134,,,,,商工会議所,1,,
5135,,,,,広域連合,2,,,,,5135,,,,,類似点,1,,
5136,,,,,分権,2,,,,,5136,,,,,テレビ出演,1,,
5137,,,,,十三,2,,,,,5137,,,,,先導,1,,
5138,,,,,二十四,2,,,,,5138,,,,,貿易圏,1,,
5139,,,,,最大規模,2,,,,,5139,,,,,優等生,1,,
5140,,,,,減免措置,2,,,,,5140,,,,,一位,1,,
5141,,,,,役人,2,,,,,5141,,,,,結び付き,1,,
5142,,,,,ひたむき,2,,,,,5142,,,,,連日,1,,
5143,,,,,開会,2,,,,,5143,,,,,終戦,1,,
5144,,,,,暮れ,2,,,,,5144,,,,,篠原,1,,
