,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,
3475,,,,,多角,3,,,,
3476,,,,,政調会長,3,,,,
3477,,,,,踏襲,3,,,,
3478,,,,,法的根拠,3,,,,
3479,,,,,教職員,3,,,,
3480,,,,,痛事,3,,,,
3481,,,,,構図,3,,,,
3482,,,,,中位,3,,,,
3483,,,,,常識的,3,,,,
3484,,,,,楽観,3,,,,
3485,,,,,自衛隊法,3,,,,
3486,,,,,勢い,3,,,,
3487,,,,,創造性,3,,,,
3488,,,,,その道,3,,,,
3489,,,,,水産加工,3,,,,
3490,,,,,心のケア,3,,,,
3491,,,,,IOC,3,,,,
3492,,,,,数量,3,,,,
3493,,,,,急激,3,,,,
3494,,,,,四つ,3,,,,
3495,,,,,グラフ,3,,,,
3496,,,,,人道支援,3,,,,
3497,,,,,場外,3,,,,
3498,,,,,マスコット,3,,,,
3499,,,,,話題,3,,,,
3500,,,,,高額療養費制度,3,,,,
3501,,,,,年収,3,,,,
3502,,,,,後期高齢者,3,,,,
3503,,,,,パネル,3,,,,
3504,,,,,食塩,3,,,,
3505,,,,,厚生労働大臣,3,,,,
3506,,,,,簡潔,3,,,,
3507,,,,,加工品,3,,,,
3508,,,,,自民党政権,3,,,,
3509,,,,,一条,3,,,,
3510,,,,,浸透,3,,,,
3511,,,,,砂川,3,,,,
3512,,,,,対案,3,,,,
3513,,,,,周辺海域,3,,,,
3514,,,,,無理,3,,,,
3515,,,,,現下,3,,,,
3516,,,,,父親,3,,,,
3517,,,,,秘書,3,,,,
3518,,,,,翁長知事,3,,,,
3519,,,,,施政権,3,,,,
3520,,,,,救急,3,,,,
3521,,,,,外国漁船,3,,,,
3522,,,,,国防省,3,,,,
3523,,,,,同軸,3,,,,
3524,,,,,場面,3,,,,
3525,,,,,スムーズ,3,,,,
3526,,,,,人道,3,,,,
3527,,,,,動員,3,,,,
3528,,,,,住環境,3,,,,
3529,,,,,国連事務総長,3,,,,
3530,,,,,潘基文,3,,,,
3531,,,,,軍事パレード,3,,,,
3532,,,,,余震,3,,,,
3533,,,,,十五日,3,,,,
3534,,,,,天候,3,,,,
3535,,,,,自宅,3,,,,
3536,,,,,運行,3,,,,
3537,,,,,ミニ,3,,,,
3538,,,,,輸入品,3,,,,
3539,,,,,早急,3,,,,
3540,,,,,笠井,3,,,,
3541,,,,,ガラス,3,,,,
3542,,,,,細工,3,,,,
3543,,,,,ブリーフ,3,,,,
3544,,,,,非関税障壁,3,,,,
3545,,,,,倒壊,3,,,,
3546,,,,,慢性疾患,3,,,,
3547,,,,,並行,3,,,,
3548,,,,,速度,3,,,,
3549,,,,,枠外,3,,,,
3550,,,,,備蓄米,3,,,,
3551,,,,,国産,3,,,,
3552,,,,,主食,3,,,,
3553,,,,,支援物資,3,,,,
3554,,,,,検疫,3,,,,
3555,,,,,沖縄本島,3,,,,
3556,,,,,拝聴,3,,,,
3557,,,,,出版,3,,,,
3558,,,,,税関,3,,,,
3559,,,,,QアンドA,3,,,,
3560,,,,,著作権,3,,,,
3561,,,,,原作,3,,,,
3562,,,,,激減,3,,,,
3563,,,,,手軽,3,,,,
3564,,,,,サーバー,3,,,,
3565,,,,,ソースコード,3,,,,
3566,,,,,衰退,3,,,,
3567,,,,,随時,3,,,,
3568,,,,,苦労,3,,,,
3569,,,,,商売,3,,,,
3570,,,,,設立,3,,,,
3571,,,,,核セキュリティ,3,,,,
3572,,,,,率先,3,,,,
3573,,,,,日本の農業,3,,,,
3574,,,,,守秘義務,3,,,,
3575,,,,,貿易交渉,3,,,,
3576,,,,,調印,3,,,,
3577,,,,,地帯,3,,,,
3578,,,,,左右,3,,,,
3579,,,,,収穫,3,,,,
3580,,,,,農業政策,3,,,,
3581,,,,,譲歩,3,,,,
3582,,,,,友人,3,,,,
3583,,,,,優秀,3,,,,
3584,,,,,ブランド化,3,,,,
3585,,,,,販路,3,,,,
3586,,,,,GI,3,,,,
3587,,,,,掘り起こし,3,,,,
3588,,,,,食品の安全,3,,,,
3589,,,,,労働条件,3,,,,
3590,,,,,利害関係,3,,,,
3591,,,,,壊滅,3,,,,
3592,,,,,経済ルール,3,,,,
3593,,,,,所期,3,,,,
3594,,,,,岐路,3,,,,
3595,,,,,後退,3,,,,
3596,,,,,11月8日,3,,,,
3597,,,,,歳出削減,3,,,,
3598,,,,,不退転,3,,,,
3599,,,,,公債,3,,,,
3600,,,,,預金保険,3,,,,
3601,,,,,同一労働同一賃金,3,,,,
3602,,,,,電通,3,,,,
3603,,,,,主流派,3,,,,
3604,,,,,滞在,3,,,,
3605,,,,,理想,3,,,,
3606,,,,,収れん,3,,,,
3607,,,,,離脱,3,,,,
3608,,,,,バングラデシュ,3,,,,
3609,,,,,回数,3,,,,
3610,,,,,未解決,3,,,,
3611,,,,,再来年,3,,,,
3612,,,,,実り,3,,,,
3613,,,,,包摂,3,,,,
3614,,,,,いるか,3,,,,
3615,,,,,翌日,3,,,,
3616,,,,,ゴルフ,3,,,,
3617,,,,,お土産,3,,,,
3618,,,,,北方領土問題,3,,,,
3619,,,,,割当て,3,,,,
3620,,,,,新政権,3,,,,
3621,,,,,新聞,3,,,,
3622,,,,,官房,3,,,,
3623,,,,,生活保護世帯,3,,,,
3624,,,,,強行,3,,,,
3625,,,,,消費支出,3,,,,
3626,,,,,年金生活,3,,,,
3627,,,,,人口問題,3,,,,
3628,,,,,積み立て,3,,,,
3629,,,,,賦課,3,,,,
3630,,,,,希望の同盟,3,,,,
3631,,,,,極東,3,,,,
3632,,,,,前任,3,,,,
3633,,,,,経済力,3,,,,
3634,,,,,海賊版,3,,,,
3635,,,,,製薬,3,,,,
3636,,,,,認め,3,,,,
3637,,,,,インセンティブ,3,,,,
3638,,,,,ロス,3,,,,
3639,,,,,共和党,3,,,,
3640,,,,,出展,3,,,,
3641,,,,,カオス,3,,,,
3642,,,,,党内,3,,,,
3643,,,,,強行採決,3,,,,
3644,,,,,海外進出,3,,,,
3645,,,,,中部,3,,,,
3646,,,,,鳥取,3,,,,
3647,,,,,多国籍,3,,,,
3648,,,,,相対的貧困,3,,,,
3649,,,,,ごつごつ,3,,,,
3650,,,,,大枠,3,,,,
3651,,,,,評論,3,,,,
3652,,,,,事務所,3,,,,
3653,,,,,元総理,3,,,,
3654,,,,,ジニ係数,3,,,,
3655,,,,,水かき,3,,,,
3656,,,,,保守党,3,,,,
3657,,,,,国産品,3,,,,
3658,,,,,遺伝子組換え,3,,,,
3659,,,,,不満,3,,,,
3660,,,,,自殺,3,,,,
3661,,,,,クリア,3,,,,
3662,,,,,予算案,3,,,,
3663,,,,,災害復旧,3,,,,
3664,,,,,労働局,3,,,,
3665,,,,,裁量労働制,3,,,,
3666,,,,,労務管理,3,,,,
3667,,,,,サウジアラビア,3,,,,
3668,,,,,出入国管理,3,,,,
3669,,,,,省内,3,,,,
3670,,,,,過ち,3,,,,
3671,,,,,国交,3,,,,
3672,,,,,第二次安倍内閣,3,,,,
3673,,,,,構成要件,3,,,,
3674,,,,,負荷,3,,,,
3675,,,,,飛行機,3,,,,
3676,,,,,有罪,3,,,,
3677,,,,,第三位,3,,,,
3678,,,,,真正面,3,,,,
3679,,,,,あなたと,3,,,,
3680,,,,,有償,3,,,,
3681,,,,,借款,3,,,,
3682,,,,,基調,3,,,,
3683,,,,,逆転,3,,,,
3684,,,,,一時的,3,,,,
3685,,,,,タフ,3,,,,
3686,,,,,勉強,3,,,,
3687,,,,,不幸,3,,,,
3688,,,,,米軍機,3,,,,
3689,,,,,敵基地攻撃能力,3,,,,
3690,,,,,弾頭,3,,,,
3691,,,,,文科省,3,,,,
3692,,,,,特別法,3,,,,
3693,,,,,貸し付け,3,,,,
3694,,,,,トレンド,3,,,,
3695,,,,,生物,3,,,,
3696,,,,,刑事訴訟法,3,,,,
3697,,,,,種類,3,,,,
3698,,,,,イタリア,3,,,,
3699,,,,,委任,3,,,,
3700,,,,,コミュニケ,3,,,,
3701,,,,,JR貨物,3,,,,
3702,,,,,共謀,3,,,,
3703,,,,,犯罪集団,3,,,,
3704,,,,,犯罪組織,3,,,,
3705,,,,,手前,3,,,,
3706,,,,,KEDO,3,,,,
3707,,,,,内部,3,,,,
3708,,,,,認知症,3,,,,
3709,,,,,学習,3,,,,
3710,,,,,今村,3,,,,
3711,,,,,嫌疑,3,,,,
3712,,,,,捜査機関,3,,,,
3713,,,,,金田勝年,3,,,,
3714,,,,,刑事法,3,,,,
3715,,,,,落下,3,,,,
3716,,,,,慫慂,3,,,,
3717,,,,,後継者,3,,,,
3718,,,,,梶山,3,,,,
3719,,,,,京産大,3,,,,
3720,,,,,獣医学部,3,,,,
3721,,,,,福田政権,3,,,,
3722,,,,,聴覚障害者,3,,,,
3723,,,,,招致,3,,,,
3724,,,,,ウラジオストク,3,,,,
3725,,,,,制裁決議,3,,,,
3726,,,,,中央委員,3,,,,
3727,,,,,特使,3,,,,
3728,,,,,中央値,3,,,,
3729,,,,,部署,3,,,,
3730,,,,,識見,3,,,,
3731,,,,,公共財,3,,,,
3732,,,,,生還,3,,,,
3733,,,,,マクマスター,3,,,,
3734,,,,,マティス,3,,,,
3735,,,,,米中,3,,,,
3736,,,,,インド洋,3,,,,
3737,,,,,墓参,3,,,,
3738,,,,,前川,3,,,,
3739,,,,,次官,3,,,,
3740,,,,,留守番電話,3,,,,
3741,,,,,10月26日,3,,,,
3742,,,,,消印,3,,,,
3743,,,,,ゼロ回答,3,,,,
3744,,,,,朝日新聞,3,,,,
3745,,,,,追及,3,,,,
3746,,,,,長島,3,,,,
3747,,,,,偏見,3,,,,
3748,,,,,津村,3,,,,
3749,,,,,同期,3,,,,
3750,,,,,就職,2,,,,
3751,,,,,社会政策,2,,,,
3752,,,,,学者,2,,,,
3753,,,,,女性議員,2,,,,
3754,,,,,比例,2,,,,
3755,,,,,乳幼児,2,,,,
3756,,,,,野田,2,,,,
3757,,,,,小選挙区,2,,,,
3758,,,,,東京パラリンピック,2,,,,
3759,,,,,バリア,2,,,,
3760,,,,,年末,2,,,,
3761,,,,,GCC,2,,,,
3762,,,,,ダボス,2,,,,
3763,,,,,中南米,2,,,,
3764,,,,,ヨーロッパ,2,,,,
3765,,,,,十一,2,,,,
3766,,,,,いつまでも,2,,,,
3767,,,,,主役,2,,,,
3768,,,,,キャメロン,2,,,,
3769,,,,,税目,2,,,,
3770,,,,,スパン,2,,,,
3771,,,,,国等,2,,,,
3772,,,,,類型,2,,,,
3773,,,,,本土,2,,,,
3774,,,,,紛れ,2,,,,
3775,,,,,独立公文書管理監,2,,,,
3776,,,,,解像度,2,,,,
3777,,,,,なのか,2,,,,
3778,,,,,地理的,2,,,,
3779,,,,,司令部,2,,,,
3780,,,,,陸上部隊,2,,,,
3781,,,,,区域,2,,,,
3782,,,,,牧港補給地区,2,,,,
3783,,,,,日米交渉,2,,,,
3784,,,,,売り上げ,2,,,,
3785,,,,,落ち込み,2,,,,
3786,,,,,経団連,2,,,,
3787,,,,,呼応,2,,,,
3788,,,,,代金,2,,,,
3789,,,,,大敗,2,,,,
3790,,,,,前年,2,,,,
3791,,,,,デマゴーグ,2,,,,
3792,,,,,換算,2,,,,
3793,,,,,所得再配分,2,,,,
3794,,,,,離職,2,,,,
3795,,,,,運搬,2,,,,
3796,,,,,破棄,2,,,,
3797,,,,,定め,2,,,,
3798,,,,,ブッシュ大統領,2,,,,
3799,,,,,サードパーティー,2,,,,
3800,,,,,コピー,2,,,,
3801,,,,,上陸,2,,,,
3802,,,,,鎮霊社,2,,,,
3803,,,,,大橋,2,,,,
3804,,,,,法務,2,,,,
3805,,,,,受諾,2,,,,
3806,,,,,仮出獄,2,,,,
3807,,,,,靖国参拝,2,,,,
3808,,,,,高裁,2,,,,
3809,,,,,着地,2,,,,
3810,,,,,肝要,2,,,,
3811,,,,,意識調査,2,,,,
3812,,,,,失業,2,,,,
3813,,,,,寡聞,2,,,,
3814,,,,,小泉元総理,2,,,,
3815,,,,,政治的,2,,,,
3816,,,,,家事,2,,,,
3817,,,,,三者,2,,,,
3818,,,,,ロードマップ,2,,,,
3819,,,,,共和国記念日,2,,,,
3820,,,,,主賓,2,,,,
3821,,,,,シン首相,2,,,,
3822,,,,,グローバルパートナーシップ,2,,,,
3823,,,,,歴訪,2,,,,
3824,,,,,兵器,2,,,,
3825,,,,,地球温暖化対策,2,,,,
3826,,,,,エネルギー効率,2,,,,
3827,,,,,弾み,2,,,,
3828,,,,,合宿,2,,,,
3829,,,,,松田公太,2,,,,
3830,,,,,美しい国,2,,,,
3831,,,,,高校生,2,,,,
3832,,,,,違憲状態,2,,,,
3833,,,,,議員定数削減,2,,,,
3834,,,,,議会政治,2,,,,
3835,,,,,膠着,2,,,,
3836,,,,,打破,2,,,,
3837,,,,,アイデンティティー,2,,,,
3838,,,,,日本の歴史,2,,,,
3839,,,,,教養,2,,,,
3840,,,,,女性閣僚,2,,,,
3841,,,,,多子,2,,,,
3842,,,,,開業率,2,,,,
3843,,,,,減価償却,2,,,,
3844,,,,,二本,2,,,,
3845,,,,,適時,2,,,,
3846,,,,,財政法,2,,,,
3847,,,,,繰越,2,,,,
3848,,,,,下振れリスク,2,,,,
3849,,,,,内閣官房副長官,2,,,,
3850,,,,,検討チーム,2,,,,
3851,,,,,自覚,2,,,,
3852,,,,,サッカー,2,,,,
3853,,,,,法的整理,2,,,,
3854,,,,,国有化,2,,,,
3855,,,,,実施主体,2,,,,
3856,,,,,必死,2,,,,
3857,,,,,債権,2,,,,
3858,,,,,同等,2,,,,
3859,,,,,暫定的,2,,,,
3860,,,,,増税,2,,,,
3861,,,,,タスクフォース,2,,,,
3862,,,,,放送法,2,,,,
3863,,,,,任命,2,,,,
3864,,,,,社会的,2,,,,
3865,,,,,緊迫,2,,,,
3866,,,,,雇用者報酬,2,,,,
3867,,,,,地域づくり,2,,,,
3868,,,,,地方財政,2,,,,
3869,,,,,法定,2,,,,
3870,,,,,一般財源,2,,,,
3871,,,,,地方財政計画,2,,,,
3872,,,,,線量,2,,,,
3873,,,,,故郷,2,,,,
3874,,,,,顕在,2,,,,
3875,,,,,右傾化,2,,,,
3876,,,,,恒久平和,2,,,,
3877,,,,,エネルギー安全保障,2,,,,
3878,,,,,事故調,2,,,,
3879,,,,,欠如,2,,,,
3880,,,,,両院,2,,,,
3881,,,,,民間団体,2,,,,
3882,,,,,戸籍法,2,,,,
3883,,,,,ヒアリング,2,,,,
3884,,,,,政権与党,2,,,,
3885,,,,,改訂,2,,,,
3886,,,,,宿題,2,,,,
3887,,,,,災害発生,2,,,,
3888,,,,,大阪府,2,,,,
3889,,,,,大阪市,2,,,,
3890,,,,,大都市地域特別区設置法,2,,,,
3891,,,,,特別区,2,,,,
3892,,,,,現状認識,2,,,,
3893,,,,,毎月,2,,,,
3894,,,,,日常生活,2,,,,
3895,,,,,御霊,2,,,,
3896,,,,,籾井,2,,,,
3897,,,,,事実誤認,2,,,,
3898,,,,,法的拘束力,2,,,,
3899,,,,,一人ひとり,2,,,,
3900,,,,,モザンビーク,2,,,,
3901,,,,,サバンナ,2,,,,
3902,,,,,収奪,2,,,,
3903,,,,,神本,2,,,,
3904,,,,,全国学力調査,2,,,,
3905,,,,,過度,2,,,,
3906,,,,,高校無償化,2,,,,
3907,,,,,低所得者層,2,,,,
3908,,,,,著作,2,,,,
3909,,,,,公設民営,2,,,,
3910,,,,,総掛かり,2,,,,
3911,,,,,公立学校,2,,,,
3912,,,,,委託,2,,,,
3913,,,,,労働移動,2,,,,
3914,,,,,過重,2,,,,
3915,,,,,初夢,2,,,,
3916,,,,,お正月,2,,,,
3917,,,,,アウト,2,,,,
3918,,,,,満塁,2,,,,
3919,,,,,立て直し,2,,,,
3920,,,,,駆け込み需要,2,,,,
3921,,,,,堅調,2,,,,
3922,,,,,経常収支,2,,,,
3923,,,,,繰り延べ,2,,,,
3924,,,,,老朽,2,,,,
3925,,,,,北米,2,,,,
3926,,,,,道徳心,2,,,,
3927,,,,,小中学校,2,,,,
3928,,,,,教育委員,2,,,,
3929,,,,,覚悟,2,,,,
3930,,,,,先人,2,,,,
3931,,,,,明治維新,2,,,,
3932,,,,,適宜,2,,,,
3933,,,,,対象品目,2,,,,
3934,,,,,受診,2,,,,
3935,,,,,研究会,2,,,,
3936,,,,,国連防災世界会議,2,,,,
3937,,,,,ミレニアム開発目標,2,,,,
3938,,,,,水産業,2,,,,
3939,,,,,林業,2,,,,
3940,,,,,議事録,2,,,,
3941,,,,,日銀法改正,2,,,,
3942,,,,,複数税率,2,,,,
3943,,,,,三党合意,2,,,,
3944,,,,,可処分所得,2,,,,
3945,,,,,突破口,2,,,,
3946,,,,,撲滅,2,,,,
3947,,,,,合理化,2,,,,
3948,,,,,政界再編,2,,,,
3949,,,,,求職者,2,,,,
3950,,,,,三本,2,,,,
3951,,,,,解禁,2,,,,
3952,,,,,株式会社,2,,,,
3953,,,,,電力自由化,2,,,,
3954,,,,,生コンクリート,2,,,,
3955,,,,,プラント,2,,,,
3956,,,,,実勢,2,,,,
3957,,,,,水中,2,,,,
3958,,,,,退去,2,,,,
3959,,,,,足元,2,,,,
3960,,,,,原材料,2,,,,
3961,,,,,経済産業省,2,,,,
3962,,,,,仕入れ,2,,,,
3963,,,,,業務改善,2,,,,
3964,,,,,世界共通,2,,,,
3965,,,,,施政,2,,,,
3966,,,,,深化,2,,,,
3967,,,,,立憲主義,2,,,,
3968,,,,,日本社会,2,,,,
3969,,,,,常任理事国,2,,,,
3970,,,,,入り,2,,,,
3971,,,,,防衛計画大綱,2,,,,
3972,,,,,名護市,2,,,,
3973,,,,,教育格差,2,,,,
3974,,,,,授業料免除,2,,,,
3975,,,,,労働環境,2,,,,
3976,,,,,要支援,2,,,,
3977,,,,,臨時的,2,,,,
3978,,,,,産業界,2,,,,
3979,,,,,労働基本権,2,,,,
3980,,,,,横断,2,,,,
3981,,,,,国際戦略総合特区,2,,,,
3982,,,,,地方税,2,,,,
3983,,,,,国税,2,,,,
3984,,,,,減免措置,2,,,,
3985,,,,,インボイス,2,,,,
3986,,,,,適材適所,2,,,,
3987,,,,,口きき,2,,,,
3988,,,,,領海警備,2,,,,
3989,,,,,輸送艦,2,,,,
3990,,,,,おおすみ,2,,,,
3991,,,,,衝突事故,2,,,,
3992,,,,,ネルソン・マンデラ,2,,,,
3993,,,,,足跡,2,,,,
3994,,,,,アパルトヘイト,2,,,,
3995,,,,,不屈,2,,,,
3996,,,,,持ち場,2,,,,
3997,,,,,東京五輪,2,,,,
3998,,,,,首都高速,2,,,,
3999,,,,,町並み,2,,,,
4000,,,,,浮体式洋上風力発電,2,,,,
4001,,,,,ハウス,2,,,,
4002,,,,,栽培,2,,,,
4003,,,,,先駆け,2,,,,
4004,,,,,作付け,2,,,,
4005,,,,,水田,2,,,,
4006,,,,,水揚げ,2,,,,
4007,,,,,漁港,2,,,,
4008,,,,,アーチ,2,,,,
4009,,,,,永代橋,2,,,,
4010,,,,,関東大震災,2,,,,
4011,,,,,工法,2,,,,
4012,,,,,橋梁,2,,,,
4013,,,,,度目,2,,,,
4014,,,,,容積率,2,,,,
4015,,,,,突破,2,,,,
4016,,,,,ジェネリック医薬品,2,,,,
4017,,,,,女の子,2,,,,
4018,,,,,中学生,2,,,,
4019,,,,,生まれつき,2,,,,
4020,,,,,小腸,2,,,,
4021,,,,,天命,2,,,,
4022,,,,,絵本作家,2,,,,
4023,,,,,職業訓練,2,,,,
4024,,,,,放課後,2,,,,
4025,,,,,医方,2,,,,
4026,,,,,休業,2,,,,
4027,,,,,インターンシップ,2,,,,
4028,,,,,教育現場,2,,,,
4029,,,,,読解力,2,,,,
4030,,,,,学力調査,2,,,,
4031,,,,,全国学力テスト,2,,,,
4032,,,,,一次,2,,,,
4033,,,,,立命館アジア太平洋大学,2,,,,
4034,,,,,ミンさん,2,,,,
4035,,,,,経済的負担,2,,,,
4036,,,,,海外留学,2,,,,
4037,,,,,公害,2,,,,
4038,,,,,環境技術,2,,,,
4039,,,,,成約,2,,,,
4040,,,,,売上げ,2,,,,
4041,,,,,開局,2,,,,
4042,,,,,仮面ライダー,2,,,,
4043,,,,,ヒーロー,2,,,,
4044,,,,,ファッション,2,,,,
4045,,,,,芸術,2,,,,
4046,,,,,クールジャパン機構,2,,,,
4047,,,,,売り込み,2,,,,
4048,,,,,万国,2,,,,
4049,,,,,津梁,2,,,,
4050,,,,,万国津梁の鐘,2,,,,
4051,,,,,玄関,2,,,,
4052,,,,,滑走,2,,,,
4053,,,,,着工,2,,,,
4054,,,,,工期,2,,,,
4055,,,,,供用,2,,,,
4056,,,,,若年,2,,,,
4057,,,,,卓越,2,,,,
4058,,,,,メタンハイドレート,2,,,,
4059,,,,,加速器,2,,,,
4060,,,,,超一流,2,,,,
4061,,,,,まね,2,,,,
4062,,,,,メッキ,2,,,,
4063,,,,,墨田区,2,,,,
4064,,,,,底力,2,,,,
4065,,,,,ソニー,2,,,,
4066,,,,,ホンダ,2,,,,
4067,,,,,本腰,2,,,,
4068,,,,,再生医療,2,,,,
4069,,,,,創薬,2,,,,
4070,,,,,未踏,2,,,,
4071,,,,,民間企業,2,,,,
4072,,,,,二の足,2,,,,
4073,,,,,NIH,2,,,,
4074,,,,,不治の病,2,,,,
4075,,,,,実用化,2,,,,
4076,,,,,医療機器,2,,,,
4077,,,,,ゼロベース,2,,,,
4078,,,,,大人気,2,,,,
4079,,,,,生産現場,2,,,,
4080,,,,,水路,2,,,,
4081,,,,,農道,2,,,,
4082,,,,,明日,2,,,,
4083,,,,,集大成,2,,,,
4084,,,,,行政サービス,2,,,,
4085,,,,,山間,2,,,,
4086,,,,,過疎,2,,,,
4087,,,,,観光資源,2,,,,
4088,,,,,パパン,2,,,,
4089,,,,,富士山,2,,,,
4090,,,,,ユネスコ,2,,,,
4091,,,,,ホテル,2,,,,
4092,,,,,偽装,2,,,,
4093,,,,,不正表示,2,,,,
4094,,,,,悪質商法,2,,,,
4095,,,,,S.T.A.L.K.E.R.,2,,,,
4096,,,,,婦人相談所,2,,,,
4097,,,,,加害者,2,,,,
4098,,,,,再犯防止,2,,,,
4099,,,,,耐震,2,,,,
4100,,,,,治水,2,,,,
4101,,,,,避難計画,2,,,,
4102,,,,,伊豆大島,2,,,,
4103,,,,,活動中,2,,,,
4104,,,,,位牌,2,,,,
4105,,,,,水筒,2,,,,
4106,,,,,きれい,2,,,,
4107,,,,,様子,2,,,,
4108,,,,,涙。,2,,,,
4109,,,,,感動,2,,,,
4110,,,,,千二,2,,,,
4111,,,,,百人,2,,,,
4112,,,,,緊急支援,2,,,,
4113,,,,,マニラ,2,,,,
4114,,,,,乗客,2,,,,
4115,,,,,コンテナ,2,,,,
4116,,,,,同胞,2,,,,
4117,,,,,あなたのために,2,,,,
4118,,,,,人類,2,,,,
4119,,,,,着任,2,,,,
4120,,,,,キャロライン・ケネディ,2,,,,
4121,,,,,米国大使,2,,,,
4122,,,,,ケネディ,2,,,,
4123,,,,,呼び掛け,2,,,,
4124,,,,,在日米軍再編,2,,,,
4125,,,,,名護市辺野古,2,,,,
4126,,,,,沖の,2,,,,
4127,,,,,外務,2,,,,
4128,,,,,エルドアン首相,2,,,,
4129,,,,,地下鉄,2,,,,
4130,,,,,膝詰め,2,,,,
4131,,,,,関係改善,2,,,,
4132,,,,,拉致実行犯,2,,,,
4133,,,,,野口英世,2,,,,
4134,,,,,博士,2,,,,
4135,,,,,周囲,2,,,,
4136,,,,,ガーナ,2,,,,
4137,,,,,殉職,2,,,,
4138,,,,,最期,2,,,,
4139,,,,,医学,2,,,,
4140,,,,,清聴,2,,,,
4141,,,,,ころ,2,,,,
4142,,,,,かけ橋,2,,,,
4143,,,,,防衛費,2,,,,
4144,,,,,教育訓練,2,,,,
4145,,,,,機関銃,2,,,,
4146,,,,,封鎖,2,,,,
4147,,,,,護衛艦,2,,,,
4148,,,,,生命線,2,,,,
4149,,,,,銃撃,2,,,,
4150,,,,,ロケット,2,,,,
4151,,,,,領空侵犯,2,,,,
4152,,,,,警告,2,,,,
4153,,,,,特措法,2,,,,
4154,,,,,職責,2,,,,
4155,,,,,叙勲,2,,,,
4156,,,,,名誉,2,,,,
4157,,,,,5月15日,2,,,,
4158,,,,,副代表,2,,,,
4159,,,,,後世,2,,,,
4160,,,,,島尻,2,,,,
4161,,,,,純然,2,,,,
4162,,,,,治安維持,2,,,,
4163,,,,,最悪,2,,,,
4164,,,,,第一義,2,,,,
4165,,,,,高速,2,,,,
4166,,,,,一元的,2,,,,
4167,,,,,一元管理,2,,,,
4168,,,,,自衛艦,2,,,,
4169,,,,,固定翼機,2,,,,
4170,,,,,阻止,2,,,,
4171,,,,,憲法九条,2,,,,
4172,,,,,直接的,2,,,,
4173,,,,,擁護,2,,,,
4174,,,,,国会答弁,2,,,,
4175,,,,,生存権,2,,,,
4176,,,,,国際海峡,2,,,,
4177,,,,,威嚇,2,,,,
4178,,,,,根本的,2,,,,
4179,,,,,変容,2,,,,
4180,,,,,幸福追求権,2,,,,
4181,,,,,仙谷,2,,,,
4182,,,,,都合,2,,,,
4183,,,,,戦禍,2,,,,
4184,,,,,立て付け,2,,,,
4185,,,,,武器使用,2,,,,
4186,,,,,用法,2,,,,
4187,,,,,別個,2,,,,
4188,,,,,勢力,2,,,,
4189,,,,,主体的,2,,,,
4190,,,,,区別,2,,,,
4191,,,,,最高裁判所,2,,,,
4192,,,,,概念論,2,,,,
4193,,,,,そご,2,,,,
4194,,,,,云々,2,,,,
4195,,,,,急迫,2,,,,
4196,,,,,論理的,2,,,,
4197,,,,,アフガン戦争,2,,,,
4198,,,,,異常,2,,,,
4199,,,,,九条,2,,,,
4200,,,,,小松,2,,,,
4201,,,,,後方,2,,,,
4202,,,,,済み,2,,,,
4203,,,,,予見,2,,,,
4204,,,,,スイス,2,,,,
4205,,,,,救援,2,,,,
4206,,,,,兵たん,2,,,,
4207,,,,,日本国,2,,,,
4208,,,,,戦闘地域,2,,,,
4209,,,,,理論,2,,,,
4210,,,,,携行,2,,,,
4211,,,,,意図的,2,,,,
4212,,,,,近隣諸国,2,,,,
4213,,,,,憲法草案,2,,,,
4214,,,,,憲法違反,2,,,,
4215,,,,,潮流,2,,,,
4216,,,,,賛同,2,,,,
4217,,,,,尖閣,2,,,,
4218,,,,,戦い,2,,,,
4219,,,,,荒井,2,,,,
4220,,,,,アイゼンハワー,2,,,,
4221,,,,,冷戦,2,,,,
4222,,,,,増強,2,,,,
4223,,,,,防衛産業,2,,,,
4224,,,,,決め方,2,,,,
4225,,,,,これだけ,2,,,,
4226,,,,,足かけ,2,,,,
4227,,,,,濃密,2,,,,
4228,,,,,中旬,2,,,,
4229,,,,,限界,2,,,,
4230,,,,,整合,2,,,,
4231,,,,,はめ,2,,,,
4232,,,,,日本の地域,2,,,,
4233,,,,,北京,2,,,,
4234,,,,,全面的,2,,,,
4235,,,,,艦船,2,,,,
4236,,,,,海洋国家,2,,,,
4237,,,,,経路,2,,,,
4238,,,,,経由,2,,,,
4239,,,,,進駐軍,2,,,,
4240,,,,,近海,2,,,,
4241,,,,,断言,2,,,,
4242,,,,,パイプ,2,,,,
4243,,,,,拙速,2,,,,
4244,,,,,抽象,2,,,,
4245,,,,,岡山,2,,,,
4246,,,,,岡山市,2,,,,
4247,,,,,倉敷,2,,,,
4248,,,,,集中的,2,,,,
4249,,,,,大阪,2,,,,
4250,,,,,名神高速道路,2,,,,
4251,,,,,世界銀行,2,,,,
4252,,,,,高度経済成長,2,,,,
4253,,,,,共同溝,2,,,,
4254,,,,,仙台,2,,,,
4255,,,,,立地,2,,,,
4256,,,,,中山,2,,,,
4257,,,,,間地,2,,,,
4258,,,,,初当選,2,,,,
4259,,,,,定住,2,,,,
4260,,,,,半島,2,,,,
